description,iSIC_code,naf_code
Other construction installation,4329,43.29
Building completion and finishing,433,43.3
Building completion and finishing,4330,43.31
Other specialized construction activities,439,43.9
Other specialized construction activities,4390,43.91
Wholesale and retail trade and repair of motor vehicles and motorcycles,45,45
Sale of motor vehicles,451,45.1
Sale of motor vehicles,4510,45.11
Maintenance and repair of motor vehicles,452,45.2
Maintenance and repair of motor vehicles,4520,45.20
Sale of motor vehicle parts and accessories,453,45.3
Sale of motor vehicle parts and accessories,4530,45.31
"Sale, maintenance and repair of motorcycles and related parts and accessories",454,45.4
"Sale, maintenance and repair of motorcycles and related parts and accessories",4540,45.40
"Wholesale trade, except of motor vehicles and motorcycles",46,46
Wholesale on a fee or contract basis,461,46.1
Wholesale on a fee or contract basis,4610,46.11
Wholesale of agricultural raw materials and live animals,462,46.2
Wholesale of agricultural raw materials and live animals,4620,46.21
"Wholesale of food, beverages and tobacco",463,46.3
"Wholesale of food, beverages and tobacco",4630,46.31
Wholesale of household goods,464,46.4
"Wholesale of textiles, clothing and footwear",4641,46.41
Wholesale of other household goods,4649,46.49
"Wholesale of machinery, equipment and supplies",465,46.5
"Wholesale of computers, computer peripheral equipment and software",4651,46.51
Wholesale of electronic and telecommunications equipment and parts,4652,46.52
"Wholesale of agricultural machinery, equipment and supplies",4653,46.61
Wholesale of other machinery and equipment,4659,46.69
Other specialized wholesale,466,46.7
"Wholesale of solid, liquid and gaseous fuels and related products",4661,46.71
Wholesale of metals and metal ores,4662,46.72
"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",4663,46.73
Wholesale of waste and scrap and other products n.e.c.,4669,46.77
Non-specialized wholesale trade,469,46.9
Non-specialized wholesale trade,4690,46.90
"Retail trade, except of motor vehicles and motorcycles",47,47
Retail sale in non-specialized stores,471,47.1
"Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711,47.11
Other retail sale in non-specialized stores,4719,47.19
"Retail sale of food, beverages and tobacco in specialized stores",472,47.2
Retail sale of food in specialized stores,4721,47.21
Retail sale of beverages in specialized stores,4722,47.25
Retail sale of tobacco products in specialized stores,4723,47.26
Retail sale of automotive fuel in specialized stores,473,47.3
Retail sale of automotive fuel in specialized stores,4730,47.30
Retail sale of information and communications equipment in specialized stores,474,47.4
"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4741,47.41
Retail sale of audio and video equipment in specialized stores,4742,47.43
Retail sale of other household equipment in specialized stores,475,47.5
Retail sale of textiles in specialized stores,4751,47.51
"Retail sale of hardware, paints and glass in specialized stores",4752,47.52
"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",4753,47.53
"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",4759,47.54
Retail sale of cultural and recreation goods in specialized stores,476,47.6
"Retail sale of books, newspapers and stationary in specialized stores",4761,47.61
